1600,スノウ ジョン
1749,三好 達治
1478,石川 千代松
263,佐々木 喜善
1604,桜間 中庸
1606,世礼 国男
1570,小倉 金之助
1677,河野 広道
1610,田辺 孝次
1611,徳永 保之助
1436,中山 啓
919,加藤 一夫
1612,江森 盛弥
1613,後藤 謙太郎
1614,佐藤 武夫
1615,下川 儀太郎
1617,西村 陽吉
1618,根岸 正吉
1619,野村 吉哉
1620,波立 一
1622,松本 淳三
1623,百田 宗治
1624,陀田 勘助
1626,猪狩 満直
1627,今村 恒夫
1628,上田 進
1630,榎南 謙一
1631,大石 喜幸
1632,大江 鉄麿
1633,国見 善弘
1634,田村 乙彦
1635,丹沢 明
1636,中島 葉那子
1638,平林 彪吾
1639,広海 大治
1640,森 竹夫
1641,藪田 忠夫
1642,伊藤 信二
1643,木村 好子
1645,倉橋 潤一郎
232,伊波 普猷
1648,土谷 麓
1652,森川 義信
1654,濤音 
1655,長沢 佑
1656,矢田部 達郎
1657,アークム フレデリック
1658,渡久山 水鳴
788,三浦 環
1659,吉本 明光
1539,片山 敏彦
1662,山口 芳光
1665,泉 芳朗
1667,仲村 渠
1668,西東 三鬼
1669,大倉 燁子
815,村上 浪六
1607,末吉 安持
1670,野村 胡堂
1674,鶴 彬
1675,竹内 浩三
1676,正木 不如丘
1779,江戸川 乱歩
1685,井上 貞治郎
493,加藤 朝鳥
1686,グリーナウェイ ケイト
1687,ブリュノフ ジャン・ド
1688,リヴィングストン・ジュニア ヘンリー
1702,ベートーヴェン ルートヴィヒ・ヴァン
1703,ヴェーゲラー フランツ・ゲルハルト
1704,ブロイニング エレオノーレ・フォン
435,上田 万年
1691,佐佐木 信綱
1692,久保田 万太郎
1802,野村 あらえびす
1695,飯田 蛇笏
1696,下村 海南
1697,高野 六郎
1698,光田 健輔
1693,山之口 貘
1705,ヴェルハーレン エミール
1706,ネグリ アダ
1707,クローデル ポール
1708,マラルメ ステファヌ
1709,ベルトラン ルイ
1710,プラーテン アウグスト
1713,サッフォ 
1715,富沢 赤黄男
1716,アラルコン ペドロ・アントニオ
1717,ミュッセ アルフレッド
1719,前田 普羅
1191,高木 敏雄
1721,ハッサル アーサー・ヒル
1722,ダンセイニ ロード
1725,ハバード エルバート
1727,オルファース ジビュレ・フォン
1728,ベスコフ エルサ
1731,神田 左京
678,富永 太郎
1732,ボードレール シャルル・ピエール
1733,フリーマン リチャード オースティン
1734,石波 杏
1736,庄野 健
1735,ベルトラン アロイジウス
1739,野口 英司
1740,宮川 典子
1741,吉田 松陰
1742,石原 忍
1726,長谷川 伸
1750,佐々木 邦
1751,北尾 亀男
1752,橋本 多佳子
1753,尾崎 士郎
1756,コールデコット ランドルフ
1758,マン パウル・トーマス
1761,小津 安二郎
1762,内山 完造
1763,佐藤 春夫
1764,モース エドワード・シルヴェスター
